camis,name,boro,building,street,zipcode,phone_x,cuisine_description,inspection_date,action,violation_code,violation_description,score,grade,grade_date,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,id,alias,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone_y,display_phone,distance,community_by_nta,median_income_by_com,pop_by_nta
30075445,morris park bake shop,Bronx,1007,MORRIS PARK AVE,10462.0,7188924968,Bakery,6/11/19,Violations were cited in the following area(s).,"08C, 10B, 10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit., Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used., Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",6.0,A,6/11/19,9/23/19,Cycle Inspection / Re-inspection,40.84823122,-73.85597189,211.0,13.0,25200.0,2045445.0,2041270037.0,BX37,LG9gS6YnT5NwootBWp7gPA,morris-park-bake-shop-bronx,https://s3-media3.fl.yelpcdn.com/bphoto/l58QVO2zatH4_b5YYxD89w/o.jpg,False,https://www.yelp.com/biz/morris-park-bake-shop-bronx?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,48,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 40.84839, 'longitude': -73.85601}",[],$$,"{'address1': '1007 Morris Park Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['1007 Morris Park Ave', 'Bronx, NY 10462']}",17188924968.0,(718) 892-4968,19706.53074397769,B11,58204.0,29250.0
40364220,kosher bagel hole,Brooklyn,1423,AVENUE J,11230.0,7182584150,Jewish/Kosher,11/28/18,Violations were cited in the following area(s).,"04N, 08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist., Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10.0,A,11/28/18,9/23/19,Cycle Inspection / Initial Inspection,40.62511113,-73.96203434,314.0,44.0,53000.0,3179615.0,3067070043.0,BK43,WtZCvuvO40ExJdpOGeLgqA,kosher-bagel-hole-brooklyn-2,https://s3-media2.fl.yelpcdn.com/bphoto/YOq91YBSrMsxZPyu0DjcIQ/o.jpg,False,https://www.yelp.com/biz/kosher-bagel-hole-brooklyn-2?adjust_creative=icdkhn4wqVng-XizKlII7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=icdkhn4wqVng-XizKlII7A,58,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 40.62541, 'longitude': -73.96157}",[],$,"{'address1': '1423 Ave J', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11230', 'country': 'US', 'state': 'NY', 'display_address': ['1423 Ave J', 'Brooklyn, NY 11230']}",17182584150.0,(718) 258-4150,9327.444179441945,K14,65599.0,52835.0
40365226,nostrand donut shop,Brooklyn,1449,NOSTRAND AVENUE,11226.0,7188263008,Donuts,7/29/19,Violations were cited in the following area(s).,"06F, 10B, 10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit., Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly., Wiping cloths soiled or not stored in sanitizing solution.",12.0,A,7/29/19,9/23/19,Cycle Inspection / Initial Inspection,40.6509759,-73.94957925,317.0,40.0,81800.0,3327739.0,3048690001.0,BK95,rUmYzsdlt8K6f_x7qH3SsQ,nostrand-donut-shop-brooklyn,https://s3-media3.fl.yelpcdn.com/bphoto/DV-nFt_-QMQESbt8nXNGaQ/o.jpg,False,https://www.yelp.com/biz/nostrand-donut-shop-brooklyn?adjust_creative=mC4tG5e7rpMxgksB2cH62A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mC4tG5e7rpMxgksB2cH62A,38,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.0,"{'latitude': 40.651, 'longitude': -73.94943}",[],$,"{'address1': '1449 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11226', 'country': 'US', 'state': 'NY', 'display_address': ['1449 Nostrand Ave', 'Brooklyn, NY 11226']}",17188263008.0,(718) 826-3008,7143.703999266282,K17,60895.0,29938.0
40365264,la grenouille,Manhattan,3,EAST   52 STREET,10022.0,2127521495,French,6/6/19,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,8.0,A,6/6/19,9/23/19,Cycle Inspection / Re-inspection,40.75965816,-73.97597744,105.0,4.0,10200.0,1035708.0,1012880006.0,MN17,KIIYvTOc0Uv90aUHEGvoSg,la-grenouille-new-york,https://s3-media1.fl.yelpcdn.com/bphoto/B0wtJS_2H9ves6JHtEIGKg/o.jpg,False,https://www.yelp.com/biz/la-grenouille-new-york?adjust_creative=icdkhn4wqVng-XizKlII7A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=icdkhn4wqVng-XizKlII7A,440,"[{'alias': 'french', 'title': 'French'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.75972, 'longitude': -73.97555}",[],$$$$,"{'address1': '3 E 52nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['3 E 52nd St', 'New York, NY 10022']}",12127521495.0,(212) 752-1495,6233.541641585679,M05,120248.0,28630.0
40365789,patsy's italian restaurant,Manhattan,236,WEST   56 STREET,10019.0,2122473491,Italian,4/18/19,Violations were cited in the following area(s).,"04L, 08A, 10F","Evidence of mice or live mice present in facility's food and/or non-food areas., Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist., Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",12.0,A,4/18/19,9/23/19,Cycle Inspection / Initial Inspection,40.765618200000006,-73.98239751,105.0,3.0,13700.0,1024883.0,1010270057.0,MN17,goqTQ4tOD-asC_ZJBW9l7w,patsys-italian-restaurant-new-york,https://s3-media3.fl.yelpcdn.com/bphoto/ly6yNuocUoJM_wpci1-vlw/o.jpg,False,https://www.yelp.com/biz/patsys-italian-restaurant-new-york?adjust_creative=eJNqbq9-fHe0U5-8tHueEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eJNqbq9-fHe0U5-8tHueEA,914,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,"{'latitude': 40.76553, 'longitude': -73.98274}",[],$$$,"{'address1': '236 W 56th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['236 W 56th St', 'New York, NY 10019']}",12122473491.0,(212) 247-3491,6761.0426425973055,M05,120248.0,28630.0
40366471,roll-n-roaster,Brooklyn,2901,EMMONS AVENUE,11235.0,7187696000,American,2/27/19,Violations were cited in the following area(s).,"06C, 06D, 10B","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred., Food not protected from potential source of contamination during storage, preparation, transportation, display or service., Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",12.0,A,2/27/19,9/23/19,Cycle Inspection / Initial Inspection,40.58386661,-73.93969006,315.0,48.0,60800.0,3247482.0,3087930063.0,BK17,fPJoi_TVRhjBdPYBZS6kXg,roll-n-roaster-brooklyn,https://s3-media3.fl.yelpcdn.com/bphoto/9sKW2NAb7T7vbyst0gsKZg/o.jpg,False,https://www.yelp.com/biz/roll-n-roaster-brooklyn?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,1130,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 40.5840481565596, 'longitude': -73.9396257952115}",[],$$,"{'address1': '2901 Emmons Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11235', 'country': 'US', 'state': 'NY', 'display_address': ['2901 Emmons Ave', 'Brooklyn, NY 11235']}",17187696000.0,(718) 769-6000,14264.917865263918,K15,75127.0,64518.0
40366487,brennan & carr,Brooklyn,3432,NOSTRAND AVENUE,11229.0,7187691254,American,1/26/19,Violations were cited in the following area(s).,"04C, 10F","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment., Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10.0,A,1/26/19,9/23/19,Cycle Inspection / Initial Inspection,40.60038588,-73.94189333,315.0,46.0,57000.0,3200248.0,3073620006.0,BK17,HqVdTKCpOZWrCvUF9rG2sA,brennan-and-carr-brooklyn-3,https://s3-media1.fl.yelpcdn.com/bphoto/0T6LNVkajQGhk36Gc95zsg/o.jpg,False,https://www.yelp.com/biz/brennan-and-carr-brooklyn-3?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,672,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.600247, 'longitude': -73.942094}",[],$$,"{'address1': '3432 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11229', 'country': 'US', 'state': 'NY', 'display_address': ['3432 Nostrand Ave', 'Brooklyn, NY 11229']}",17187691254.0,(718) 769-1254,12499.40559657395,K15,75127.0,64518.0
40366879,la fusta restaurant,Queens,8032,BAXTER AVENUE,11373.0,7184298222,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/16/19,Violations were cited in the following area(s).,"06C, 09C, 10B, 10F","Food contact surface not properly maintained., Food not protected from potential source of contamination during storage, preparation, transportation, display or service., Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit., Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",12.0,A,5/16/19,9/23/19,Cycle Inspection / Initial Inspection,40.744706799999996,-73.88456967,404.0,25.0,26902.0,4000000.0,4015080001.0,QN29,_BsM67A1_JqAmgXA3SznKg,la-fusta-restaurant-elmhurst-2,https://s3-media4.fl.yelpcdn.com/bphoto/ZR6Lcy6ZUdsxL_vbm3u3uQ/o.jpg,False,https://www.yelp.com/biz/la-fusta-restaurant-elmhurst-2?adjust_creative=eJNqbq9-fHe0U5-8tHueEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eJNqbq9-fHe0U5-8tHueEA,271,"[{'alias': 'argentine', 'title': 'Argentine'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 40.7446937, 'longitude': -73.8843894}","['delivery', 'pickup']",$$,"{'address1': '80-32 Baxter Ave', 'address2': '', 'address3': '', 'city': 'Elmhurst', 'zip_code': '11373', 'country': 'US', 'state': 'NY', 'display_address': ['80-32 Baxter Ave', 'Elmhurst, NY 11373']}",17184298222.0,(718) 429-8222,10238.90273928289,Q04,67143.0,88427.0
40367038,mexico lindo restaurant,Manhattan,459,2 AVENUE,10010.0,2126793665,Mexican,7/30/19,Violations were cited in the following area(s).,"02H, 06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred., Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",13.0,A,7/30/19,9/23/19,Cycle Inspection / Re-inspection,40.73964407,-73.97961494,106.0,2.0,6600.0,1019834.0,1009060033.0,MN20,ZIfh0Vv86ktGZDdM3YME-w,mexico-lindo-restaurant-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/3H07FX8Ttg_GohPWUftzww/o.jpg,False,https://www.yelp.com/biz/mexico-lindo-restaurant-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,254,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 40.73981, 'longitude': -73.97984}","['pickup', 'delivery']",$$,"{'address1': '459 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['459 2nd Ave', 'New York, NY 10010']}",12126793665.0,(212) 679-3665,4010.18819528758,M06,154501.0,50742.0
40367749,lenny's clam bar,Queens,16103,CROSSBAY BOULEVARD,11414.0,7188455100,Seafood,5/17/19,Violations were cited in the following area(s).,"02G, 08C, 10F","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation., Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit., Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",12.0,A,5/17/19,9/23/19,Cycle Inspection / Initial Inspection,40.65555094,-73.83896749,410.0,32.0,89200.0,4442305.0,4141890084.0,QN57,Yu31-BeC27cVc76jgKV1jw,lennys-clam-bar-howard-beach,https://s3-media2.fl.yelpcdn.com/bphoto/qS6Zp8jYCEg1TaKaNkcwwg/o.jpg,False,https://www.yelp.com/biz/lennys-clam-bar-howard-beach?adjust_creative=eJNqbq9-fHe0U5-8tHueEA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=eJNqbq9-fHe0U5-8tHueEA,519,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.5,"{'latitude': 40.6557040405579, 'longitude': -73.8386900905761}","['delivery', 'pickup']",$$,"{'address1': '16103 Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['16103 Crossbay Blvd', 'Howard Beach, NY 11414']}",17188455100.0,(718) 845-5100,14239.329193163847,Q10,84258.0,26148.0
