name,boro,zipcode,score,latitude,longitude,nta,review_count,transactions,price,community_by_nta,median_income_by_com,pop_by_nta,distance,cuisine_type,above_avg
morris park bake shop,Bronx,10462.0,6.0,40.84823122,-73.85597189,BX37,48,[],2,B11,58204.0,29250.0,19706.53074397769,bakery_deli_cafe,0
kosher bagel hole,Brooklyn,11230.0,10.0,40.62511113,-73.96203434,BK43,58,[],1,K14,65599.0,52835.0,9327.444179441945,american,0
nostrand donut shop,Brooklyn,11226.0,12.0,40.6509759,-73.94957925,BK95,38,[],1,K17,60895.0,29938.0,7143.703999266282,bakery_deli_cafe,0
la grenouille,Manhattan,10022.0,8.0,40.75965816,-73.97597744,MN17,440,[],4,M05,120248.0,28630.0,6233.541641585679,european,0
patsy's italian restaurant,Manhattan,10019.0,12.0,40.76561820000001,-73.98239751,MN17,914,[],3,M05,120248.0,28630.0,6761.0426425973055,italian_pizza,0
roll-n-roaster,Brooklyn,11235.0,12.0,40.58386661,-73.93969006,BK17,1130,[],2,K15,75127.0,64518.0,14264.917865263918,american,0
brennan & carr,Brooklyn,11229.0,10.0,40.60038588,-73.94189333,BK17,672,[],2,K15,75127.0,64518.0,12499.40559657395,american,0
la fusta restaurant,Queens,11373.0,12.0,40.744706799999996,-73.88456967,QN29,271,"['delivery', 'pickup']",2,Q04,67143.0,88427.0,10238.90273928289,latin_caribbean,0
mexico lindo restaurant,Manhattan,10010.0,13.0,40.73964407,-73.97961494,MN20,254,"['pickup', 'delivery']",2,M06,154501.0,50742.0,4010.18819528758,latin_caribbean,0
lenny's clam bar,Queens,11414.0,12.0,40.65555094,-73.83896749,QN57,519,"['delivery', 'pickup']",2,Q10,84258.0,26148.0,14239.329193163847,american,0
cafe fiorello,Manhattan,10023.0,11.0,40.77151115,-73.98215045,MN14,775,"['pickup', 'delivery']",3,M07,136735.0,61489.0,7411.11555415287,italian_pizza,0
terrace cafe,Bronx,10460.0,9.0,40.85055596,-73.88245143,BX99,74,[],2,B09,43975.0,1906.0,6374.590531268747,american,0
elephant & castle,Manhattan,10011.0,10.0,40.73631373,-74.00094179999998,MN23,534,"['delivery', 'pickup']",2,M02,162092.0,66880.0,3464.090808179182,american,0
jimmy's corner,Manhattan,10036.0,5.0,40.75661292,-73.98433100000003,MN17,609,[],1,M05,120248.0,28630.0,5743.048542865367,american,0
caffe reggio,Manhattan,10012.0,8.0,40.73020663,-74.00031751,MN23,612,"['delivery', 'pickup']",1,M02,162092.0,66880.0,2803.715477049441,italian_pizza,0
johnny's reef restaurant,Bronx,10464.0,12.0,40.83766442,-73.78289894,BX10,525,[],2,B10,61029.0,26583.0,23105.83230031441,american,0
villa berulia,Manhattan,10016.0,9.0,40.74686575,-73.98082174,MN20,161,"['delivery', 'pickup']",2,M06,154501.0,50742.0,4738.134985484118,italian_pizza,0
keens steakhouse,Manhattan,10018.0,7.0,40.75075309,-73.98610812,MN17,2568,[],4,M05,120248.0,28630.0,5071.689036489537,american,0
bubo,Manhattan,10016.0,4.0,40.74604728,-73.97786985,MN20,175,[],2,M06,154501.0,50742.0,4725.590762206177,american,1
tony's pier restaurant,Bronx,10464.0,12.0,40.83765897,-73.78292064,BX10,209,[],2,B10,61029.0,26583.0,23058.903947780866,american,0
molly wee pub,Manhattan,10001.0,5.0,40.74975474,-73.99522147,MN17,236,[],2,M05,120248.0,28630.0,4917.094040652037,european,0
tomoe sushi,Manhattan,10012.0,29.0,40.72771164,-74.00025617,MN23,962,[],3,M02,162092.0,66880.0,2519.741121971132,e_asian,0
cafe luxembourg,Manhattan,10023.0,12.0,40.77746465,-73.98301541,MN14,506,"['delivery', 'pickup']",3,M07,136735.0,61489.0,8053.065658829433,european,0
club 101,Manhattan,10178.0,9.0,40.75098522,-73.97848538,MN20,7,[],3,M06,154501.0,50742.0,5241.565794203407,american,1
carlos pizza,Queens,11379.0,8.0,40.71282521,-73.87819353,QN21,45,"['delivery', 'pickup']",1,Q05,72781.0,37929.0,7066.878584592109,italian_pizza,0
