id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
LG9gS6YnT5NwootBWp7gPA,morris-park-bake-shop-bronx,Morris Park Bake Shop,https://s3-media3.fl.yelpcdn.com/bphoto/l58QVO2zatH4_b5YYxD89w/o.jpg,False,https://www.yelp.com/biz/morris-park-bake-shop-bronx?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,48,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"{'latitude': 40.84839, 'longitude': -73.85601}",[],$$,"{'address1': '1007 Morris Park Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['1007 Morris Park Ave', 'Bronx, NY 10462']}",17188924968.0,(718) 892-4968,19706.53074397769
FpYVG2jW7SmLhsHBNEGDtg,wendys-staten-island-17,Wendy's,https://s3-media2.fl.yelpcdn.com/bphoto/1-MRwheMzFYZDm-QCP4ojg/o.jpg,False,https://www.yelp.com/biz/wendys-staten-island-17?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,19,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",2.0,"{'latitude': 40.701014, 'longitude': -74.013025}",['delivery'],$,"{'address1': '4 South St', 'address2': '', 'address3': 'Space 2', 'city': 'Staten Island', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['4 South St', 'Space 2', 'Staten Island, NY 10004']}",12122209989.0,(212) 220-9989,1654.1040741950421
oo77ZO5cj9M2NRdTqEgHvQ,d-j-reynolds-new-york-5,D.J. Reynolds,https://s3-media3.fl.yelpcdn.com/bphoto/nJnEX79JURBz9K-yBZHGtQ/o.jpg,False,https://www.yelp.com/biz/d-j-reynolds-new-york-5?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,108,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'pubs', 'title': 'Pubs'}]",3.5,"{'latitude': 40.76775, 'longitude': -73.98487}",[],$$,"{'address1': '351 W 57th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['351 W 57th St', 'New York, NY 10019']}",12122452912.0,(212) 245-2912,6975.97085705647
ooYUO3Pq_qypc1NXFzeLYQ,city-vineyard-new-york,City Vineyard,https://s3-media3.fl.yelpcdn.com/bphoto/EQkP8Wd2bC_411mQMBtwXg/o.jpg,False,https://www.yelp.com/biz/city-vineyard-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,910,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': 40.7205582, 'longitude': -74.0118093}","['pickup', 'delivery']",$$,"{'address1': '233 West St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['233 West St', 'New York, NY 10013']}",16466778350.0,(646) 677-8350,2353.947657485321
zn43M8VysK0NIPf72o5daw,caffè-panna-new-york,Caffè Panna,https://s3-media1.fl.yelpcdn.com/bphoto/UcYvxaF3H_1fq0mFW2TmcA/o.jpg,False,https://www.yelp.com/biz/caff%C3%A8-panna-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,160,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 40.736886, 'longitude': -73.986817}",[],,"{'address1': '77 Irving Pl', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['77 Irving Pl', 'New York, NY 10003']}",19174751162.0,(917) 475-1162,3554.5486341989367
VoAuIReq_cPUrFwxbWqG_Q,salathai-restaurant-new-york,SalaThai Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/rY-GxvSeet0K4kPzB44gXQ/o.jpg,False,https://www.yelp.com/biz/salathai-restaurant-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,378,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.7801199, 'longitude': -73.98032}","['delivery', 'pickup']",$$,"{'address1': '307 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['307 Amsterdam Ave', 'New York, NY 10023']}",12124333999.0,(212) 433-3999,8383.821131514791
blXVGUTB-4epYW9KFsQJ_g,the-greek-kitchen-new-york,The Greek Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/d0uovCqgU2gAVddDJCXFUg/o.jpg,False,https://www.yelp.com/biz/the-greek-kitchen-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,507,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,"{'latitude': 40.7697614, 'longitude': -73.9881055}","['pickup', 'delivery']",$$,"{'address1': '889 10th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['889 10th Ave', 'New York, NY 10019']}",12125814303.0,(212) 581-4303,7170.641098602993
PVRP0gE2QjlnwikwcXcteA,nathans-famous-pizza-plus-new-york,Nathan's Famous/Pizza Plus,https://s3-media4.fl.yelpcdn.com/bphoto/IzoLD9ReLys8_mhc1i8wsw/o.jpg,False,https://www.yelp.com/biz/nathans-famous-pizza-plus-new-york?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,7,"[{'alias': 'pizza', 'title': 'Pizza'}]",2.5,"{'latitude': 40.701557546854, 'longitude': -74.0123847126961}","['pickup', 'delivery']",$$,"{'address1': '4 South St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10004', 'country': 'US', 'state': 'NY', 'display_address': ['4 South St', 'New York, NY 10004']}",12129431800.0,(212) 943-1800,1654.237632673199
z3oboZz5K2ZOg7YUm_WmHg,carvel-store-2071-staten-island,Carvel Store #2071,https://s3-media1.fl.yelpcdn.com/bphoto/rZP7E2m7gLn2xJBlXGt5sg/o.jpg,False,https://www.yelp.com/biz/carvel-store-2071-staten-island?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,6,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.5,"{'latitude': 40.63033, 'longitude': -74.10632}","['pickup', 'delivery']",,"{'address1': '480 Forest Ave', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10310', 'country': 'US', 'state': 'NY', 'display_address': ['480 Forest Ave', 'Staten Island, NY 10310']}",17184479563.0,(718) 447-9563,12605.131829942566
wUp0XV7RPDcMvgfxpvrgfw,emack-and-bolios-new-york-5,Emack & Bolio's,https://s3-media4.fl.yelpcdn.com/bphoto/R3WcgsupIWuOQeGk8S_QCg/o.jpg,False,https://www.yelp.com/biz/emack-and-bolios-new-york-5?adjust_creative=tlgEVrF7QT8N_1mT0YywvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tlgEVrF7QT8N_1mT0YywvA,453,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.0,"{'latitude': 40.77382, 'longitude': -73.95139}","['delivery', 'pickup']",$$,"{'address1': '1564 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1564 1st Ave', 'New York, NY 10028']}",12127340105.0,(212) 734-0105,8413.340967059472
